Event,Room,Category,Color_x,TimeSlot,Utility,Color_y,Data Value
Gundam Building - Beginner,"('Sheraton', 'Panel Gardner')",Partner Content|Workshop,#F7931E|#FF69B4,"['13:30', '13:45', '14:00', '14:15']",,,
Gundam Building - Intermediate,"('Sheraton', 'Panel Gardner')",Workshop,#F7931E,"['15:00', '15:15', '15:30', '15:45']",5.0,#F7931E,21.0
HIDIVE Presents 2.5 Dimensional Seduction Dub Special Screening Eps 1 & 2,"('Hynes', 'Video 210')",Anime,#FFFF00,"['16:30', '16:45', '17:00', '17:15']",4.0,#FFFF00,76.0
Harlequin Manga : translating romance for Japanese readers,"('Sheraton', 'Panel Gardner')",Manga,#CCFF00,"['18:00', '18:15', '18:30', '18:45']",5.0,#CCFF00,64.0
History of the Mecha Genre,"('Hynes', 'Events 302')",Fan Content,#FF69B4,"['19:30', '19:45', '20:00', '20:15']",5.0,#FF69B4,60.0
How Do You Say Atelier? A Starter Guide to Synthesis and Story,"('Hynes', 'Panel 208')",Gaming,#FFCC00,"['20:30', '20:45', '21:00', '21:15']",6.0,#FFCC00,74.0
How to Frankenstein a Pattern for Cosplay,"('Sheraton', 'Workshop Fairfax')",Cosplay,#CC99FF,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45']",5.0,#CC99FF,65.0
"I'm not OLD, But My Knees ARE Creaking (2005)","('Hynes', 'Fan Creations 312')",Fan Creations,#CCFF66,"['19:00', '19:15', '19:30']",5.0,#CCFF66,32.0
Idoling IRL: A Survival Guide for Beginners,"('Hynes', 'Panel 310')",Idols and VTubers,#CCFFFF,"['16:30', '16:45', '17:00', '17:15']",5.0,#CCFFFF,75.0
Into The Sunshine: A Look Back at Aqours!,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['17:30', '17:45', '18:00', '18:15']",6.0,#72B7ED,48.0
Intro to J-horror,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['01:00', '01:15', '01:30', '01:45']",5.0,#FF69B4,60.0
Isekai Webtoon Market Saturation,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['18:00', '18:15', '18:30', '18:45']",5.0,#FF69B4,60.0
JDrama 101: Exploring the wonderful world of Japanese Dramas,"('Sheraton', 'Panel Constitution B')",Panel,#72B7ED,"['20:00', '20:15', '20:30', '20:45']",6.0,#72B7ED,48.0
JET – Japanese Exchange and Teaching Program Information Session,"('Hynes', 'Panel 310')",Travel,#CCFFCC,"['13:30', '13:45', '14:00', '14:15']",5.0,#CCFFCC,79.0
Jam Zone: Berklee Anime Band,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['13:00', '13:15', '13:30', '13:45']",6.0,#CCFFFF,67.0
Jam Zone: Off-Knowneous,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['15:00', '15:15', '15:30', '15:45']",6.0,#CCFFFF,67.0
Jam Zone: Shiori Kubrick,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['11:00', '11:15', '11:30', '11:45']",6.0,#CCFFFF,67.0
Jam Zone: Sora,"('Sheraton', 'Panel Republic')",Music,#CCFFFF,"['09:00', '09:15', '09:30', '09:45']",6.0,#CCFFFF,67.0
Japan and the World's Game: Exploring Football in Anime,"('Hynes', 'Panel 309')",Anime,#FFFF00,"['23:30', '23:45', '00:00', '00:15']",4.0,#FFFF00,76.0
K-Pop 101,"('Hynes', 'Panel 207')",Panel,#72B7ED,"['14:00', '14:15', '14:30', '14:45']",6.0,#72B7ED,48.0
K-Pop Dance Workshop,"('Hynes', 'Ballroom A')",Partner Content,#FF69B4,"['12:00', '12:15', '12:30', '12:45']",5.0,#FF69B4,61.0
"K-Pop Survival! Save One, Drop One","('Hynes', 'Events 302')",Music,#CCFFFF,"['16:30', '16:45', '17:00', '17:15']",6.0,#CCFFFF,67.0
LGBT and U,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['16:45', '17:00', '17:15']",4.0,#66A3D2,1.0
Learn To Use Dance in Cosplay Photos and Performance,"('Hynes', 'Panel 309')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']",5.0,#00FF00,58.0
Let's $ew! Dino Nuggies!,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['11:00', '11:15', '11:30', '11:45', '12:00', '12:15', '12:30', '12:45']",5.0,#F7931E,21.0
Let's $ew! a Ditto!,"('Sheraton', 'Workshop Fairfax')",Arts and Crafting,#CC99FF,"['13:00', '13:15', '13:30', '13:45', '14:00', '14:15', '14:30', '14:45']",5.0,#CC99FF,63.0
Lolita Fashion 101,"('Hynes', 'Panel 202')",Panel,#72B7ED,"['16:30', '16:45', '17:00', '17:15']",6.0,#72B7ED,48.0
Lovely Complex,"('Hynes', 'Video 210')",Video,#66A3D2,"['14:00', '14:15', '14:30', '14:45', '15:00', '15:15', '15:30', '15:45']",4.0,#66A3D2,1.0
Lunar: A Story Not Forgotten,"('Sheraton', 'Panel Gardner')",History,#CCFFCC,"['21:00', '21:15', '21:30', '21:45']",5.0,#CCFFCC,78.0
Manga Demographics and You,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['16:30', '16:45', '17:00', '17:15']",5.0,#FF69B4,60.0
Manga for Teachers and Librarians,"('Hynes', 'Panel 202')",Fan Content,#FF69B4,"['13:30', '13:45', '14:00', '14:15']",5.0,#FF69B4,60.0
Meet Ayamine-sensei: Behind The Feisty Omega and His Twin Mates,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['16:00', '16:15', '16:30', '16:45']",5.0,#00FF00,58.0
Meet Kaiji Tang,"('Sheraton', 'Panel Constitution A')",Guest Content,#00FF00,"['13:00', '13:15', '13:30', '13:45']",5.0,#00FF00,58.0
Meet Yuriko Yamaguchi,"('Sheraton', 'Panel Constitution B')",Guest Content,#00FF00,"['14:00', '14:15', '14:30', '14:45']",5.0,#00FF00,58.0
