Event,Utility_general_JRW,Room,Category,Color,TimeSlot
GaoGaiGar: The King of Braves,2,"('Hynes', 'Video 210')",Video,#66A3D2,"['20:00', '20:15', '20:30', '20:45', '21:00', '21:15', '21:30', '21:45']"
Adrenaline Beat,2,"('Hynes', 'Fan Creations 312')",Video,#66A3D2,"['21:45', '22:00', '22:15', '22:30', '22:45', '23:00']"
Gundam Building - Intermediate,2,"('Sheraton', 'Panel Gardner')",Workshop,#F7931E,"['12:30', '12:45', '13:00', '13:15']"
Let's $ew! Fat Rattling Frogs!,2,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['15:30', '15:45', '16:00', '16:15', '16:30', '16:45', '17:00', '17:15']"
Let's $ew! Pickles!,2,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['17:30', '17:45', '18:00', '18:15', '18:30', '18:45', '19:00', '19:15']"
Majik Mystery PIN BRAWL!,2,"('Sheraton', 'Workshop Fairfax')",Workshop,#F7931E,"['19:30', '19:45', '20:00', '20:15', '20:30', '20:45', '21:00', '21:15']"
The Weakest Weeb (Weakest Link Parody Game),3,"('Hynes', 'Panel 309')",Fan Content,#FF69B4,"['10:30', '10:45', '11:00', '11:15']"
"""In the Name of the Moon!"" History of the Sailor Moon Franchis e",3,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['14:00', '14:15', '14:30', '14:45']"
Learn to Play: Weiss Schwarz TCG,3,"('Sheraton', 'Panel Gardner')",Fan Content,#FF69B4,"['18:30', '18:45', '19:00', '19:15']"
Your Favorite Anime Didn’t Make Itself: The Process Explained,3,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['20:30', '20:45', '21:00', '21:15']"
Arcs and Lessons in Tokyo Revengers,3,"('Hynes', 'Panel 310')",Fan Content,#FF69B4,"['23:30', '23:45', '00:00', '00:15']"
Fantasy Never Dies: Metaphor ReFantazio in Forsaken Times,3,"('Hynes', 'Panel 202')",Gaming,#FFCC00,"['13:30', '13:45', '14:00', '14:15']"
HIDIVE Presents Is It Wrong to Try to Pick Up Girls in a Dungeon? 10th Anniversary Dub Panel,3,"('Sheraton', 'Panel Republic')",Industry Content,#55ED99,"['17:30', '17:45', '18:00', '18:15']"
Japan in the 1920s: An Overview,3,"('Sheraton', 'Panel Gardner')",Panel,#72B7ED,"['17:00', '17:15', '17:30', '17:45']"
Bungo Stray Dogs: Themes of War and Conflict,3,"('Sheraton', 'Panel Constitution A')",Panel,#72B7ED,"['19:00', '19:15', '19:30', '19:45']"
